Susan sent my dad 's son 's friend 's brother 's doctor 's teacher 's dad the button .	Susan kept my dad 's son 's friend 's brother 's doctor 's teacher 's dad the button .
the person showed your father 's mom 's wife 's teacher 's boss 's grandmother 's friend the ring .	the person dropped your father 's mom 's wife 's teacher 's boss 's grandmother 's friend the ring .
my doctor showed your grandmother 's daughter 's dentist 's husband 's husband 's doctor 's son the book .	my doctor dropped your grandmother 's daughter 's dentist 's husband 's husband 's doctor 's son the book .
Paul gave my brother 's father 's father 's sister 's daughter 's husband 's mother the door .	Paul held my brother 's father 's father 's sister 's daughter 's husband 's mother the door .
your friend gave my dad 's dentist 's brother 's cousin 's dentist 's wife 's brother the bowl .	your friend kept my dad 's dentist 's brother 's cousin 's dentist 's wife 's brother the bowl .
your teacher showed my father 's teacher 's son 's doctor 's grandmother 's father 's wife the picture .	your teacher held my father 's teacher 's son 's doctor 's grandmother 's father 's wife the picture .
the driver showed my wife 's husband 's dad 's mom 's grandmother 's dentist 's grandmother the fork .	the driver shook my wife 's husband 's dad 's mom 's grandmother 's dentist 's grandmother the fork .
George sent my friend 's father 's sister 's daughter 's dad 's daughter 's wife the boat .	George cleaned my friend 's father 's sister 's daughter 's dad 's daughter 's wife the boat .
Sara showed my son 's mother 's cousin 's son 's grandmother 's son 's dentist the truck .	Sara cleaned my son 's mother 's cousin 's son 's grandmother 's son 's dentist the truck .
Amy showed your husband 's father 's mother 's cousin 's dad 's mother 's father the truck .	Amy dropped your husband 's father 's mother 's cousin 's dad 's mother 's father the truck .
William gave your cousin 's husband 's brother 's sister 's mom 's brother 's wife the plane .	William dropped your cousin 's husband 's brother 's sister 's mom 's brother 's wife the plane .
my doctor bought your son 's mom 's mom 's boss 's dad 's brother 's husband the crayon .	my doctor dropped your son 's mom 's mom 's boss 's dad 's brother 's husband the crayon .
Carl showed your boss 's sister 's grandmother 's friend 's son 's mother 's grandmother the door .	Carl moved your boss 's sister 's grandmother 's friend 's son 's mother 's grandmother the door .
the adult showed my wife 's doctor 's dad 's grandmother 's sister 's mom 's dad the couch .	the adult dropped my wife 's doctor 's dad 's grandmother 's sister 's mom 's dad the couch .
my friend gave your boss 's mom 's husband 's daughter 's son 's mother 's husband the rug .	my friend cleaned your boss 's mom 's husband 's daughter 's son 's mother 's husband the rug .
your dentist bought my dentist 's doctor 's daughter 's wife 's sister 's daughter 's dentist the cup .	your dentist moved my dentist 's doctor 's daughter 's wife 's sister 's daughter 's dentist the cup .
the dentist sent my husband 's teacher 's grandmother 's teacher 's wife 's doctor 's father the spoon .	the dentist kept my husband 's teacher 's grandmother 's teacher 's wife 's doctor 's father the spoon .
the dentist gave my doctor 's friend 's sister 's mom 's husband 's dad 's dentist the bed .	the dentist moved my doctor 's friend 's sister 's mom 's husband 's dad 's dentist the bed .
the patient showed my daughter 's mom 's dad 's boss 's teacher 's friend 's husband the box .	the patient moved my daughter 's mom 's dad 's boss 's teacher 's friend 's husband the box .
your cousin sent my teacher 's daughter 's boss 's dad 's dad 's brother 's doctor the ring .	your cousin lost my teacher 's daughter 's boss 's dad 's dad 's brother 's doctor the ring .
the driver gave my husband 's son 's daughter 's husband 's husband 's sister 's husband the ring .	the driver shook my husband 's son 's daughter 's husband 's husband 's sister 's husband the ring .
the customer bought my husband 's husband 's husband 's sister 's grandmother 's cousin 's son the bag .	the customer held my husband 's husband 's husband 's sister 's grandmother 's cousin 's son the bag .
the dancer showed your doctor 's brother 's cousin 's dad 's son 's husband 's dad the doll .	the dancer kept your doctor 's brother 's cousin 's dad 's son 's husband 's dad the doll .
my doctor showed your son 's daughter 's boss 's son 's son 's son 's doctor the car .	my doctor lost your son 's daughter 's boss 's son 's son 's son 's doctor the car .
Amy gave my sister 's sister 's daughter 's mother 's mother 's friend 's daughter the window .	Amy cleaned my sister 's sister 's daughter 's mother 's mother 's friend 's daughter the window .
Ann sent my mother 's brother 's cousin 's friend 's mother 's mom 's son the fork .	Ann kept my mother 's brother 's cousin 's friend 's mother 's mom 's son the fork .
Sally gave your daughter 's brother 's dad 's daughter 's friend 's teacher 's boss the plate .	Sally dropped your daughter 's brother 's dad 's daughter 's friend 's teacher 's boss the plate .
my boss showed my son 's boss 's doctor 's doctor 's dad 's sister 's doctor the fork .	my boss held my son 's boss 's doctor 's doctor 's dad 's sister 's doctor the fork .
your cousin bought your father 's husband 's daughter 's mother 's boss 's friend 's doctor the plate .	your cousin kept your father 's husband 's daughter 's mother 's boss 's friend 's doctor the plate .
the dancer gave your wife 's son 's teacher 's son 's doctor 's daughter 's dad the ship .	the dancer kept your wife 's son 's teacher 's son 's doctor 's daughter 's dad the ship .
my boss showed my wife 's dentist 's cousin 's mom 's boss 's grandmother 's grandmother the ring .	my boss cleaned my wife 's dentist 's cousin 's mom 's boss 's grandmother 's grandmother the ring .
Alice showed your brother 's sister 's teacher 's grandmother 's friend 's boss 's dentist the boat .	Alice cleaned your brother 's sister 's teacher 's grandmother 's friend 's boss 's dentist the boat .
James sent your cousin 's wife 's husband 's mom 's dad 's father 's husband the fork .	James cleaned your cousin 's wife 's husband 's mom 's dad 's father 's husband the fork .
my boss showed my mother 's dad 's mom 's grandmother 's mom 's brother 's grandmother the door .	my boss dropped my mother 's dad 's mom 's grandmother 's mom 's brother 's grandmother the door .
Brett bought your friend 's boss 's grandmother 's mom 's doctor 's grandmother 's father the bed .	Brett kept your friend 's boss 's grandmother 's mom 's doctor 's grandmother 's father the bed .
the doctor showed your brother 's friend 's doctor 's mom 's mother 's teacher 's brother the picture .	the doctor lost your brother 's friend 's doctor 's mom 's mother 's teacher 's brother the picture .
the customer sent my father 's friend 's grandmother 's daughter 's father 's wife 's boss the shoe .	the customer lost my father 's friend 's grandmother 's daughter 's father 's wife 's boss the shoe .
Brett gave your mom 's husband 's son 's doctor 's sister 's boss 's teacher the book .	Brett dropped your mom 's husband 's son 's doctor 's sister 's boss 's teacher the book .
the driver showed your boss 's wife 's mother 's father 's friend 's dad 's friend the car .	the driver kept your boss 's wife 's mother 's father 's friend 's dad 's friend the car .
the dancer showed my mother 's grandmother 's cousin 's father 's boss 's boss 's dad the shirt .	the dancer dropped my mother 's grandmother 's cousin 's father 's boss 's boss 's dad the shirt .
my cousin sent your doctor 's husband 's brother 's wife 's grandmother 's sister 's cousin the car .	my cousin moved your doctor 's husband 's brother 's wife 's grandmother 's sister 's cousin the car .
my doctor bought my mother 's mother 's husband 's dentist 's son 's father 's son the plate .	my doctor kept my mother 's mother 's husband 's dentist 's son 's father 's son the plate .
my friend bought your sister 's cousin 's dad 's father 's friend 's boss 's dentist the doll .	my friend dropped your sister 's cousin 's dad 's father 's friend 's boss 's dentist the doll .
Paul sent your friend 's husband 's husband 's wife 's boss 's mother 's mom the glass .	Paul kept your friend 's husband 's husband 's wife 's boss 's mother 's mom the glass .
the driver gave my boss 's husband 's wife 's doctor 's friend 's dentist 's wife the shirt .	the driver kept my boss 's husband 's wife 's doctor 's friend 's dentist 's wife the shirt .
your boss sent your teacher 's boss 's brother 's dentist 's mother 's grandmother 's husband the ring .	your boss dropped your teacher 's boss 's brother 's dentist 's mother 's grandmother 's husband the ring .
the patient bought my son 's mom 's mom 's mother 's cousin 's boss 's cousin the toy .	the patient held my son 's mom 's mom 's mother 's cousin 's boss 's cousin the toy .
my boss sent my friend 's brother 's grandmother 's son 's teacher 's wife 's boss the chair .	my boss held my friend 's brother 's grandmother 's son 's teacher 's wife 's boss the chair .
the driver gave your husband 's mom 's cousin 's doctor 's wife 's son 's teacher the chair .	the driver held your husband 's mom 's cousin 's doctor 's wife 's son 's teacher the chair .
the person sent your mom 's husband 's teacher 's husband 's teacher 's dentist 's mom the boat .	the person cleaned your mom 's husband 's teacher 's husband 's teacher 's dentist 's mom the boat .
my teacher sent my dentist 's teacher 's dad 's daughter 's husband 's dentist 's boss the shoe .	my teacher cleaned my dentist 's teacher 's dad 's daughter 's husband 's dentist 's boss the shoe .
the dentist sent my son 's wife 's husband 's dentist 's boss 's daughter 's sister the cup .	the dentist held my son 's wife 's husband 's dentist 's boss 's daughter 's sister the cup .
my doctor sent your mom 's cousin 's dentist 's boss 's dentist 's dad 's friend the fork .	my doctor lost your mom 's cousin 's dentist 's boss 's dentist 's dad 's friend the fork .
my teacher gave your doctor 's sister 's mom 's brother 's brother 's mom 's son the boat .	my teacher dropped your doctor 's sister 's mom 's brother 's brother 's mom 's son the boat .
your friend sent my wife 's brother 's mother 's dad 's brother 's grandmother 's son the cup .	your friend moved my wife 's brother 's mother 's dad 's brother 's grandmother 's son the cup .
Steve gave your dad 's brother 's father 's daughter 's teacher 's dad 's brother the truck .	Steve held your dad 's brother 's father 's daughter 's teacher 's dad 's brother the truck .
my teacher gave my friend 's son 's doctor 's brother 's friend 's son 's cousin the rug .	my teacher dropped my friend 's son 's doctor 's brother 's friend 's son 's cousin the rug .
the child bought my teacher 's brother 's son 's cousin 's sister 's boss 's daughter the plane .	the child lost my teacher 's brother 's son 's cousin 's sister 's boss 's daughter the plane .
the child bought my dad 's dad 's brother 's mother 's dentist 's boss 's doctor the bottle .	the child lost my dad 's dad 's brother 's mother 's dentist 's boss 's doctor the bottle .
my dentist gave your sister 's mother 's grandmother 's friend 's dad 's teacher 's teacher the car .	my dentist lost your sister 's mother 's grandmother 's friend 's dad 's teacher 's teacher the car .
the child sent my cousin 's friend 's dentist 's brother 's sister 's doctor 's husband the book .	the child lost my cousin 's friend 's dentist 's brother 's sister 's doctor 's husband the book .
Bill gave my teacher 's teacher 's son 's daughter 's mom 's mother 's mother the hat .	Bill shook my teacher 's teacher 's son 's daughter 's mom 's mother 's mother the hat .
your boss sent my doctor 's cousin 's grandmother 's son 's mother 's grandmother 's teacher the book .	your boss lost my doctor 's cousin 's grandmother 's son 's mother 's grandmother 's teacher the book .
your doctor gave your friend 's brother 's sister 's teacher 's husband 's teacher 's husband the box .	your doctor dropped your friend 's brother 's sister 's teacher 's husband 's teacher 's husband the box .
my dentist bought your friend 's son 's grandmother 's grandmother 's friend 's wife 's doctor the crayon .	my dentist kept your friend 's son 's grandmother 's grandmother 's friend 's wife 's doctor the crayon .
your doctor gave my grandmother 's sister 's wife 's daughter 's sister 's husband 's father the bicycle .	your doctor lost my grandmother 's sister 's wife 's daughter 's sister 's husband 's father the bicycle .
the patient gave my son 's friend 's wife 's dentist 's son 's cousin 's boss the truck .	the patient held my son 's friend 's wife 's dentist 's son 's cousin 's boss the truck .
my dentist showed my sister 's doctor 's dentist 's grandmother 's brother 's dentist 's son the bed .	my dentist shook my sister 's doctor 's dentist 's grandmother 's brother 's dentist 's son the bed .
your doctor sent your brother 's daughter 's mother 's boss 's brother 's friend 's mother the box .	your doctor cleaned your brother 's daughter 's mother 's boss 's brother 's friend 's mother the box .
David gave your dad 's cousin 's dentist 's father 's mother 's husband 's husband the doll .	David moved your dad 's cousin 's dentist 's father 's mother 's husband 's husband the doll .
Vanessa sent my friend 's doctor 's grandmother 's sister 's mother 's mom 's husband the truck .	Vanessa held my friend 's doctor 's grandmother 's sister 's mother 's mom 's husband the truck .
your dentist sent your friend 's doctor 's son 's friend 's wife 's sister 's daughter the truck .	your dentist lost your friend 's doctor 's son 's friend 's wife 's sister 's daughter the truck .
my cousin sent your mother 's grandmother 's dentist 's cousin 's son 's wife 's friend the crayon .	my cousin lost your mother 's grandmother 's dentist 's cousin 's son 's wife 's friend the crayon .
my friend sent your dad 's teacher 's father 's dad 's mom 's dad 's dad the bag .	my friend cleaned your dad 's teacher 's father 's dad 's mom 's dad 's dad the bag .
the dentist sent my friend 's son 's cousin 's son 's cousin 's sister 's sister the fork .	the dentist lost my friend 's son 's cousin 's son 's cousin 's sister 's sister the fork .
Emily gave my boss 's teacher 's mom 's wife 's grandmother 's boss 's cousin the cup .	Emily lost my boss 's teacher 's mom 's wife 's grandmother 's boss 's cousin the cup .
Steven sent my wife 's son 's doctor 's father 's mom 's husband 's dad the fork .	Steven moved my wife 's son 's doctor 's father 's mom 's husband 's dad the fork .
the driver bought your daughter 's dentist 's friend 's doctor 's boss 's dad 's friend the plane .	the driver dropped your daughter 's dentist 's friend 's doctor 's boss 's dad 's friend the plane .
the patient bought your mother 's boss 's father 's mother 's dentist 's dad 's wife the glass .	the patient lost your mother 's boss 's father 's mother 's dentist 's dad 's wife the glass .
your dentist gave your son 's doctor 's grandmother 's cousin 's mom 's friend 's father the hat .	your dentist lost your son 's doctor 's grandmother 's cousin 's mom 's friend 's father the hat .
my teacher sent my brother 's father 's dentist 's boss 's doctor 's daughter 's sister the doll .	my teacher moved my brother 's father 's dentist 's boss 's doctor 's daughter 's sister the doll .
Bill gave my boss 's daughter 's daughter 's dad 's mother 's mother 's mom the bag .	Bill lost my boss 's daughter 's daughter 's dad 's mother 's mother 's mom the bag .
your dentist gave my grandmother 's grandmother 's dad 's daughter 's dentist 's mother 's dad the fork .	your dentist moved my grandmother 's grandmother 's dad 's daughter 's dentist 's mother 's dad the fork .
my friend bought your grandmother 's son 's brother 's father 's sister 's daughter 's teacher the book .	my friend dropped your grandmother 's son 's brother 's father 's sister 's daughter 's teacher the book .
Dan sent my daughter 's husband 's brother 's doctor 's boss 's teacher 's cousin the fork .	Dan kept my daughter 's husband 's brother 's doctor 's boss 's teacher 's cousin the fork .
my friend showed my mother 's friend 's daughter 's cousin 's grandmother 's brother 's brother the picture .	my friend moved my mother 's friend 's daughter 's cousin 's grandmother 's brother 's brother the picture .
Gregory showed your brother 's dentist 's friend 's wife 's father 's husband 's daughter the fork .	Gregory moved your brother 's dentist 's friend 's wife 's father 's husband 's daughter the fork .
Brett bought your cousin 's mother 's teacher 's friend 's brother 's brother 's brother the hat .	Brett held your cousin 's mother 's teacher 's friend 's brother 's brother 's brother the hat .
the person sent your cousin 's grandmother 's doctor 's husband 's friend 's teacher 's wife the bicycle .	the person moved your cousin 's grandmother 's doctor 's husband 's friend 's teacher 's wife the bicycle .
the child sent my brother 's daughter 's mother 's doctor 's dad 's wife 's father the bag .	the child shook my brother 's daughter 's mother 's doctor 's dad 's wife 's father the bag .
my teacher gave my son 's dentist 's cousin 's wife 's mother 's cousin 's dentist the bowl .	my teacher lost my son 's dentist 's cousin 's wife 's mother 's cousin 's dentist the bowl .
Rachel bought your mom 's brother 's friend 's father 's dad 's wife 's son the mirror .	Rachel held your mom 's brother 's friend 's father 's dad 's wife 's son the mirror .
Linda gave my dad 's brother 's sister 's father 's dentist 's doctor 's doctor the truck .	Linda held my dad 's brother 's sister 's father 's dentist 's doctor 's doctor the truck .
your cousin gave your dentist 's son 's dad 's teacher 's mother 's brother 's dentist the chair .	your cousin moved your dentist 's son 's dad 's teacher 's mother 's brother 's dentist the chair .
the teacher sent your dentist 's teacher 's wife 's husband 's brother 's father 's dentist the bed .	the teacher moved your dentist 's teacher 's wife 's husband 's brother 's father 's dentist the bed .
the patient showed your doctor 's doctor 's wife 's cousin 's brother 's brother 's teacher the ring .	the patient held your doctor 's doctor 's wife 's cousin 's brother 's brother 's teacher the ring .
the dentist showed my son 's wife 's wife 's doctor 's husband 's husband 's father the doll .	the dentist moved my son 's wife 's wife 's doctor 's husband 's husband 's father the doll .
my boss gave my daughter 's mother 's daughter 's dentist 's daughter 's wife 's cousin the bowl .	my boss moved my daughter 's mother 's daughter 's dentist 's daughter 's wife 's cousin the bowl .
my boss showed your son 's brother 's teacher 's son 's doctor 's son 's friend the box .	my boss held your son 's brother 's teacher 's son 's doctor 's son 's friend the box .
Alexander gave your husband 's mom 's doctor 's son 's dentist 's cousin 's brother the rug .	Alexander shook your husband 's mom 's doctor 's son 's dentist 's cousin 's brother the rug .
my boss sent my teacher 's boss 's daughter 's brother 's wife 's teacher 's brother the rocket .	my boss kept my teacher 's boss 's daughter 's brother 's wife 's teacher 's brother the rocket .
my friend bought your doctor 's sister 's son 's dentist 's friend 's mom 's mom the shirt .	my friend lost your doctor 's sister 's son 's dentist 's friend 's mom 's mom the shirt .
your cousin sent your son 's son 's wife 's dentist 's friend 's teacher 's grandmother the mirror .	your cousin lost your son 's son 's wife 's dentist 's friend 's teacher 's grandmother the mirror .
Stephanie sent your doctor 's friend 's dad 's dad 's dad 's wife 's mother the fork .	Stephanie shook your doctor 's friend 's dad 's dad 's dad 's wife 's mother the fork .
Amelia sent my daughter 's son 's sister 's boss 's cousin 's dentist 's mother the couch .	Amelia cleaned my daughter 's son 's sister 's boss 's cousin 's dentist 's mother the couch .
the adult bought my mom 's mom 's father 's boss 's husband 's dad 's brother the ship .	the adult shook my mom 's mom 's father 's boss 's husband 's dad 's brother the ship .
Vanessa bought your grandmother 's dentist 's friend 's dad 's dentist 's friend 's husband the truck .	Vanessa cleaned your grandmother 's dentist 's friend 's dad 's dentist 's friend 's husband the truck .
Sarah showed your teacher 's dad 's husband 's mother 's cousin 's teacher 's dad the bed .	Sarah shook your teacher 's dad 's husband 's mother 's cousin 's teacher 's dad the bed .
my cousin bought my father 's dentist 's sister 's cousin 's brother 's husband 's friend the toy .	my cousin cleaned my father 's dentist 's sister 's cousin 's brother 's husband 's friend the toy .
my teacher gave your friend 's doctor 's grandmother 's friend 's wife 's sister 's dentist the shirt .	my teacher shook your friend 's doctor 's grandmother 's friend 's wife 's sister 's dentist the shirt .
the person sent your cousin 's son 's teacher 's dad 's grandmother 's doctor 's friend the toy .	the person cleaned your cousin 's son 's teacher 's dad 's grandmother 's doctor 's friend the toy .
your friend gave my teacher 's sister 's dentist 's husband 's daughter 's sister 's daughter the rug .	your friend shook my teacher 's sister 's dentist 's husband 's daughter 's sister 's daughter the rug .
Jerry gave your mom 's friend 's daughter 's doctor 's teacher 's husband 's dentist the bag .	Jerry cleaned your mom 's friend 's daughter 's doctor 's teacher 's husband 's dentist the bag .
my teacher sent my daughter 's father 's mother 's teacher 's daughter 's wife 's mom the spoon .	my teacher kept my daughter 's father 's mother 's teacher 's daughter 's wife 's mom the spoon .
your teacher bought your sister 's father 's wife 's dentist 's boss 's son 's cousin the bowl .	your teacher moved your sister 's father 's wife 's dentist 's boss 's son 's cousin the bowl .
your cousin gave your mother 's dad 's mom 's teacher 's brother 's son 's boss the crayon .	your cousin moved your mother 's dad 's mom 's teacher 's brother 's son 's boss the crayon .
the child sent my dentist 's father 's boss 's grandmother 's daughter 's son 's cousin the shirt .	the child dropped my dentist 's father 's boss 's grandmother 's daughter 's son 's cousin the shirt .
Becky sent your wife 's brother 's daughter 's grandmother 's mother 's mother 's teacher the bicycle .	Becky lost your wife 's brother 's daughter 's grandmother 's mother 's mother 's teacher the bicycle .
the driver gave my father 's boss 's wife 's boss 's doctor 's husband 's cousin the plane .	the driver shook my father 's boss 's wife 's boss 's doctor 's husband 's cousin the plane .
the child bought your cousin 's mom 's doctor 's friend 's mother 's daughter 's cousin the book .	the child shook your cousin 's mom 's doctor 's friend 's mother 's daughter 's cousin the book .
your friend bought your cousin 's dentist 's grandmother 's mother 's boss 's dad 's wife the door .	your friend cleaned your cousin 's dentist 's grandmother 's mother 's boss 's dad 's wife the door .
Aaron bought my teacher 's husband 's daughter 's boss 's brother 's father 's dentist the plate .	Aaron shook my teacher 's husband 's daughter 's boss 's brother 's father 's dentist the plate .
your boss bought your sister 's cousin 's doctor 's dentist 's teacher 's wife 's grandmother the dish .	your boss lost your sister 's cousin 's doctor 's dentist 's teacher 's wife 's grandmother the dish .
the adult sent my teacher 's sister 's friend 's mom 's doctor 's son 's wife the box .	the adult held my teacher 's sister 's friend 's mom 's doctor 's son 's wife the box .
my doctor sent your husband 's boss 's doctor 's dad 's dentist 's daughter 's daughter the dish .	my doctor kept your husband 's boss 's doctor 's dad 's dentist 's daughter 's daughter the dish .
your dentist gave my daughter 's wife 's mother 's mother 's husband 's dad 's daughter the rug .	your dentist held my daughter 's wife 's mother 's mother 's husband 's dad 's daughter the rug .
the dancer bought my wife 's boss 's father 's mother 's mother 's father 's brother the crayon .	the dancer held my wife 's boss 's father 's mother 's mother 's father 's brother the crayon .
my friend showed my sister 's father 's friend 's wife 's wife 's cousin 's sister the bottle .	my friend cleaned my sister 's father 's friend 's wife 's wife 's cousin 's sister the bottle .
Bill bought my dad 's brother 's dad 's cousin 's boss 's friend 's daughter the bed .	Bill shook my dad 's brother 's dad 's cousin 's boss 's friend 's daughter the bed .
my teacher showed my wife 's cousin 's friend 's grandmother 's dad 's father 's boss the chair .	my teacher cleaned my wife 's cousin 's friend 's grandmother 's dad 's father 's boss the chair .
Marie bought my wife 's grandmother 's dad 's grandmother 's dentist 's doctor 's husband the spoon .	Marie moved my wife 's grandmother 's dad 's grandmother 's dentist 's doctor 's husband the spoon .
Sally showed my dad 's son 's wife 's cousin 's dentist 's mom 's grandmother the book .	Sally shook my dad 's son 's wife 's cousin 's dentist 's mom 's grandmother the book .
Jennifer bought your friend 's wife 's grandmother 's wife 's wife 's mom 's mom the couch .	Jennifer cleaned your friend 's wife 's grandmother 's wife 's wife 's mom 's mom the couch .
my friend gave your cousin 's friend 's dentist 's father 's mom 's dentist 's sister the book .	my friend held your cousin 's friend 's dentist 's father 's mom 's dentist 's sister the book .
the doctor showed your mom 's teacher 's mother 's boss 's friend 's husband 's doctor the ship .	the doctor cleaned your mom 's teacher 's mother 's boss 's friend 's husband 's doctor the ship .
Timothy sent my dentist 's husband 's boss 's daughter 's boss 's friend 's wife the bag .	Timothy cleaned my dentist 's husband 's boss 's daughter 's boss 's friend 's wife the bag .
Emily showed your dentist 's dentist 's father 's father 's dad 's sister 's mom the boat .	Emily dropped your dentist 's dentist 's father 's father 's dad 's sister 's mom the boat .
my cousin showed your doctor 's dentist 's son 's friend 's sister 's dad 's brother the bottle .	my cousin moved your doctor 's dentist 's son 's friend 's sister 's dad 's brother the bottle .
the driver bought my husband 's son 's friend 's son 's dentist 's boss 's brother the fork .	the driver kept my husband 's son 's friend 's son 's dentist 's boss 's brother the fork .
my cousin gave your grandmother 's boss 's daughter 's dentist 's cousin 's boss 's friend the doll .	my cousin shook your grandmother 's boss 's daughter 's dentist 's cousin 's boss 's friend the doll .
my doctor showed my sister 's teacher 's boss 's doctor 's friend 's cousin 's doctor the ring .	my doctor cleaned my sister 's teacher 's boss 's doctor 's friend 's cousin 's doctor the ring .
the patient sent my mother 's doctor 's sister 's sister 's doctor 's father 's mother the door .	the patient cleaned my mother 's doctor 's sister 's sister 's doctor 's father 's mother the door .
your teacher gave your sister 's husband 's dentist 's sister 's wife 's friend 's cousin the fork .	your teacher cleaned your sister 's husband 's dentist 's sister 's wife 's friend 's cousin the fork .
your dentist showed your wife 's mother 's dentist 's grandmother 's boss 's boss 's dentist the window .	your dentist kept your wife 's mother 's dentist 's grandmother 's boss 's boss 's dentist the window .
the person showed your teacher 's wife 's grandmother 's boss 's teacher 's grandmother 's teacher the mirror .	the person dropped your teacher 's wife 's grandmother 's boss 's teacher 's grandmother 's teacher the mirror .
the adult showed my brother 's sister 's brother 's son 's father 's friend 's doctor the button .	the adult lost my brother 's sister 's brother 's son 's father 's friend 's doctor the button .
Joseph showed your friend 's brother 's wife 's son 's friend 's brother 's dentist the rocket .	Joseph shook your friend 's brother 's wife 's son 's friend 's brother 's dentist the rocket .
your boss bought your son 's mom 's daughter 's doctor 's wife 's wife 's dad the car .	your boss lost your son 's mom 's daughter 's doctor 's wife 's wife 's dad the car .
the child gave your doctor 's daughter 's mother 's daughter 's son 's wife 's doctor the ship .	the child moved your doctor 's daughter 's mother 's daughter 's son 's wife 's doctor the ship .
Mary sent my dentist 's friend 's husband 's son 's boss 's dentist 's wife the toy .	Mary dropped my dentist 's friend 's husband 's son 's boss 's dentist 's wife the toy .
the patient showed your cousin 's mother 's husband 's teacher 's son 's mom 's cousin the book .	the patient dropped your cousin 's mother 's husband 's teacher 's son 's mom 's cousin the book .
the adult gave your boss 's son 's cousin 's father 's brother 's wife 's teacher the box .	the adult dropped your boss 's son 's cousin 's father 's brother 's wife 's teacher the box .
my friend bought my dad 's grandmother 's mom 's doctor 's brother 's mother 's friend the doll .	my friend moved my dad 's grandmother 's mom 's doctor 's brother 's mother 's friend the doll .
Brian sent my teacher 's dad 's grandmother 's sister 's doctor 's cousin 's daughter the chair .	Brian held my teacher 's dad 's grandmother 's sister 's doctor 's cousin 's daughter the chair .
Jason bought your sister 's dentist 's son 's wife 's father 's cousin 's mom the bag .	Jason dropped your sister 's dentist 's son 's wife 's father 's cousin 's mom the bag .
the child bought my boss 's dentist 's cousin 's mom 's cousin 's dad 's brother the plate .	the child held my boss 's dentist 's cousin 's mom 's cousin 's dad 's brother the plate .
the dancer bought your mother 's doctor 's boss 's husband 's mother 's friend 's grandmother the truck .	the dancer cleaned your mother 's doctor 's boss 's husband 's mother 's friend 's grandmother the truck .
Nancy bought your father 's friend 's wife 's dad 's dad 's son 's daughter the window .	Nancy dropped your father 's friend 's wife 's dad 's dad 's son 's daughter the window .
the child bought my sister 's son 's mom 's dad 's wife 's dentist 's wife the glass .	the child shook my sister 's son 's mom 's dad 's wife 's dentist 's wife the glass .
Kristen sent your son 's cousin 's boss 's daughter 's son 's doctor 's mom the dish .	Kristen dropped your son 's cousin 's boss 's daughter 's son 's doctor 's mom the dish .
the customer gave my friend 's dentist 's mother 's doctor 's sister 's boss 's cousin the ship .	the customer held my friend 's dentist 's mother 's doctor 's sister 's boss 's cousin the ship .
your boss sent your doctor 's boss 's dentist 's dad 's doctor 's dentist 's cousin the window .	your boss dropped your doctor 's boss 's dentist 's dad 's doctor 's dentist 's cousin the window .
