those doctors smile .	those doctors like .
those ladies scream .	those ladies bother .
this person wo n't smile .	this person wo n't like .
this child talks .	this child likes .
the teachers could n't yell .	the teachers could n't bother .
the ladies cough .	the ladies praise .
this child can n't laugh .	this child can n't hate .
that driver can n't smile .	that driver can n't scare .
these women scream .	these women scare .
that driver should whisper .	that driver should praise .
this king appears .	this king likes .
the guys talk .	the guys appreciate .
that person had laughed .	that person had bothered .
the teachers yelled .	the teachers liked .
the queen has n't laughed .	the queen has n't confused .
that teacher must talk .	that teacher must praise .
this person might lie .	this person might praise .
the doctors could n't whisper .	the doctors could n't bother .
this woman had laughed .	this woman had liked .
that customer might yell .	that customer might praise .
this teacher will sneeze .	this teacher will hate .
the man had n't talked .	the man had n't liked .
these boys will sneeze .	these boys will hate .
these ladies are n't screaming .	these ladies are n't bothering .
this king would n't smile .	this king would n't appreciate .
the lady would talk .	the lady would hate .
this guy talked .	this guy confused .
the men must talk .	the men must praise .
the women laughed .	the women bothered .
this lady had n't yelled .	this lady had n't bothered .
this customer must whisper .	this customer must like .
the people were yelling .	the people were bothering .
the girls cough .	the girls bother .
the girl is lying .	the girl is bothering .
this teacher will laugh .	this teacher will scare .
those children laugh .	those children appreciate .
these guys will sneeze .	these guys will scare .
the guys did n't sneeze .	the guys did n't hate .
these doctors had laughed .	these doctors had scared .
the dentist might smile .	the dentist might bother .
these ladies did n't talk .	these ladies did n't appreciate .
that queen would n't laugh .	that queen would n't appreciate .
this lady might cough .	this lady might scare .
the women yell .	the women appreciate .
the girl is whispering .	the girl is bothering .
these ladies would smile .	these ladies would scare .
that woman talked .	that woman confused .
the lady would n't talk .	the lady would n't appreciate .
this adult must yell .	this adult must hate .
the doctors scream .	the doctors like .
these children laughed .	these children scared .
the patient had n't laughed .	the patient had n't confused .
this child did n't talk .	this child did n't appreciate .
the boy could n't scream .	the boy could n't appreciate .
those boys sneeze .	those boys like .
that person laughed .	that person confused .
these people had laughed .	these people had confused .
those doctors laugh .	those doctors appreciate .
those children talk .	those children hate .
that patient has n't yelled .	that patient has n't bothered .
this person has n't laughed .	this person has n't scared .
the patient would n't scream .	the patient would n't praise .
these doctors laugh .	these doctors hate .
the queen can n't talk .	the queen can n't like .
the men could scream .	the men could hate .
this boy talked .	this boy scared .
the person talked .	the person bothered .
these ladies were n't smiling .	these ladies were n't bothering .
those people talk .	those people like .
those girls could n't cough .	those girls could n't appreciate .
these teachers should whisper .	these teachers should bother .
the ladies sneeze .	the ladies like .
that lady was n't screaming .	that lady was n't bothering .
those men yell .	those men appreciate .
the lady wo n't whisper .	the lady wo n't bother .
these men scream .	these men praise .
this guy laughed .	this guy confused .
these ladies should scream .	these ladies should bother .
the women should talk .	the women should like .
these girls laugh .	these girls appreciate .
the boys whisper .	the boys bother .
this lady might laugh .	this lady might scare .
the dancer does n't smile .	the dancer does n't scare .
the people yell .	the people hate .
the ladies scream .	the ladies appreciate .
these people have laughed .	these people have bothered .
this customer is n't laughing .	this customer is n't bothering .
this guy does n't scream .	this guy does n't hate .
these people can talk .	these people can bother .
those guys are talking .	those guys are bothering .
that patient is whispering .	that patient is bothering .
those teachers whisper .	those teachers scare .
the child could n't yell .	the child could n't praise .
this driver had laughed .	this driver had scared .
that queen has n't laughed .	that queen has n't liked .
the ladies talked .	the ladies scared .
this customer would n't lie .	this customer would n't scare .
that patient had laughed .	that patient had scared .
those teachers are n't smiling .	those teachers are n't bothering .
the woman must yell .	the woman must scare .
that queen does n't smile .	that queen does n't bother .
this dentist must scream .	this dentist must scare .
those guys could n't laugh .	those guys could n't praise .
the woman was n't laughing .	the woman was n't bothering .
that girl would yell .	that girl would bother .
this guy can sneeze .	this guy can bother .
that dancer has n't laughed .	that dancer has n't bothered .
those men smile .	those men scare .
the woman must laugh .	the woman must bother .
those ladies yell .	those ladies bother .
the adult would lie .	the adult would scare .
that lady has laughed .	that lady has scared .
the dentist had n't yelled .	the dentist had n't bothered .
the boy can n't yell .	the boy can n't bother .
that king is n't smiling .	that king is n't bothering .
the girls should laugh .	the girls should scare .
the girl does n't scream .	the girl does n't appreciate .
these ladies talked .	these ladies confused .
these men should laugh .	these men should bother .
the ladies should sneeze .	the ladies should hate .
those guys wo n't lie .	those guys wo n't scare .
this child would n't whisper .	this child would n't praise .
the king could n't yell .	the king could n't appreciate .
that queen would smile .	that queen would hate .
the child talked .	the child confused .
the dancer had n't talked .	the dancer had n't liked .
these ladies had n't laughed .	these ladies had n't confused .
that boy should n't smile .	that boy should n't like .
the doctors whisper .	the doctors like .
the people should yell .	the people should bother .
that man could n't lie .	that man could n't hate .
the guy appears .	the guy likes .
the girls must laugh .	the girls must scare .
this girl was n't laughing .	this girl was n't bothering .
the dancer had n't laughed .	the dancer had n't confused .
that king was yelling .	that king was bothering .
the dancer was yelling .	the dancer was bothering .
the teachers talked .	the teachers liked .
that patient talks .	that patient scares .
these girls talked .	these girls bothered .
the woman talks .	the woman likes .
these women could n't smile .	these women could n't like .
the doctors laugh .	the doctors scare .
this teacher might smile .	this teacher might appreciate .
that queen can lie .	that queen can scare .
the teachers wo n't smile .	the teachers wo n't like .
that girl can n't cough .	that girl can n't scare .
the people were lying .	the people were bothering .
the children yelled .	the children liked .
the driver should n't laugh .	the driver should n't scare .
these guys talk .	these guys praise .
the boys whisper .	the boys like .
the dancer laughed .	the dancer liked .
these teachers cough .	these teachers praise .
the guy will cough .	the guy will bother .
that boy must lie .	that boy must scare .
this boy was n't talking .	this boy was n't bothering .
the teacher is n't screaming .	the teacher is n't bothering .
the girls could talk .	the girls could scare .
these girls did n't laugh .	these girls did n't hate .
the adult talked .	the adult confused .
this guy was n't lying .	this guy was n't bothering .
these men could whisper .	these men could praise .
these boys talked .	these boys liked .
the doctor had talked .	the doctor had scared .
those people do n't lie .	those people do n't scare .
the doctor should n't cough .	the doctor should n't hate .
that guy should n't talk .	that guy should n't bother .
the girl did n't whisper .	the girl did n't praise .
the teacher did n't scream .	the teacher did n't praise .
that lady has n't laughed .	that lady has n't liked .
that customer was n't lying .	that customer was n't bothering .
that child may scream .	that child may scare .
these children lie .	these children bother .
that girl has n't yelled .	that girl has n't bothered .
the men would lie .	the men would praise .
the teacher can n't yell .	the teacher can n't scare .
those boys cough .	those boys hate .
the customer can cough .	the customer can like .
those teachers sneeze .	those teachers praise .
that dentist had n't talked .	that dentist had n't bothered .
that man can lie .	that man can bother .
those girls sneeze .	those girls appreciate .
these children did n't yell .	these children did n't hate .
these teachers would laugh .	these teachers would bother .
this boy yelled .	this boy confused .
this child laughed .	this child bothered .
those girls lie .	those girls hate .
this lady wo n't lie .	this lady wo n't praise .
these girls do n't yell .	these girls do n't hate .
that dentist had n't laughed .	that dentist had n't scared .
the people would whisper .	the people would hate .
the child will lie .	the child will bother .
that queen should n't whisper .	that queen should n't appreciate .
this teacher did n't sneeze .	this teacher did n't hate .
this boy yelled .	this boy scared .
those guys did n't talk .	those guys did n't like .
these boys did n't lie .	these boys did n't hate .
that driver laughed .	that driver liked .
the guy had laughed .	the guy had confused .
that dancer had talked .	that dancer had liked .
that adult yelled .	that adult scared .
this dancer has n't laughed .	this dancer has n't scared .
this queen wo n't cough .	this queen wo n't praise .
the children must lie .	the children must hate .
the guys were n't smiling .	the guys were n't bothering .
that guy is n't yelling .	that guy is n't bothering .
the ladies talked .	the ladies liked .
the customer would n't laugh .	the customer would n't bother .
those teachers have yelled .	those teachers have scared .
that dancer did n't laugh .	that dancer did n't like .
those teachers should talk .	those teachers should like .
that driver yelled .	that driver scared .
the guys had n't laughed .	the guys had n't bothered .
those boys had n't yelled .	those boys had n't scared .
this man can smile .	this man can hate .
that king did n't sneeze .	that king did n't scare .
that girl should n't whisper .	that girl should n't hate .
these people yell .	these people hate .
the patient wo n't talk .	the patient wo n't like .
that teacher had n't laughed .	that teacher had n't bothered .
those guys smile .	those guys hate .
these boys would sneeze .	these boys would bother .
that person would n't sneeze .	that person would n't hate .
the person can n't yell .	the person can n't scare .
this dentist is n't screaming .	this dentist is n't bothering .
this person should whisper .	this person should bother .
the boys sneeze .	the boys appreciate .
that boy should n't whisper .	that boy should n't appreciate .
that girl talked .	that girl confused .
this dancer yelled .	this dancer confused .
this queen laughed .	this queen scared .
those girls might scream .	those girls might praise .
the people yell .	the people appreciate .
those women had talked .	those women had bothered .
these people laughed .	these people bothered .
the woman wo n't whisper .	the woman wo n't bother .
the teachers are screaming .	the teachers are bothering .
that queen laughed .	that queen bothered .
that teacher should n't lie .	that teacher should n't scare .
those men could whisper .	those men could hate .
these ladies smile .	these ladies praise .
these people should n't laugh .	these people should n't like .
the woman would laugh .	the woman would appreciate .
this teacher must yell .	this teacher must appreciate .
these teachers had n't yelled .	these teachers had n't confused .
this patient wo n't scream .	this patient wo n't like .
the teachers should sneeze .	the teachers should appreciate .
these men should n't whisper .	these men should n't praise .
that person had n't yelled .	that person had n't bothered .
the guys talk .	the guys hate .
that boy could n't lie .	that boy could n't hate .
the teachers talked .	the teachers confused .
those children could yell .	those children could praise .
that doctor talked .	that doctor liked .
this boy talks .	this boy likes .
the lady should n't whisper .	the lady should n't bother .
that adult wo n't lie .	that adult wo n't praise .
the girl would yell .	the girl would bother .
that person should n't lie .	that person should n't scare .
that child may yell .	that child may bother .
these men may smile .	these men may scare .
that lady does n't yell .	that lady does n't like .
these boys would n't whisper .	these boys would n't bother .
these ladies laugh .	these ladies scare .
these children could scream .	these children could praise .
the girls laughed .	the girls scared .
those men laugh .	those men praise .
the customer does n't lie .	the customer does n't appreciate .
the doctor should n't smile .	the doctor should n't bother .
that king wo n't sneeze .	that king wo n't praise .
that man had n't laughed .	that man had n't bothered .
this lady can n't whisper .	this lady can n't scare .
these doctors smile .	these doctors like .
that driver talked .	that driver bothered .
the patient did n't smile .	the patient did n't praise .
the customer has n't laughed .	the customer has n't scared .
this doctor should talk .	this doctor should like .
that king was n't lying .	that king was n't bothering .
the ladies wo n't lie .	the ladies wo n't bother .
that dentist can n't smile .	that dentist can n't scare .
that patient may scream .	that patient may appreciate .
this adult might laugh .	this adult might like .
the child has n't laughed .	the child has n't liked .
the teachers lie .	the teachers like .
the man will laugh .	the man will hate .
the girls yell .	the girls praise .
these people had laughed .	these people had bothered .
these people should talk .	these people should like .
that patient can n't whisper .	that patient can n't like .
this boy could n't yell .	this boy could n't appreciate .
these girls have n't talked .	these girls have n't bothered .
this lady talks .	this lady scares .
these guys smile .	these guys praise .
the teachers may cough .	the teachers may like .
this doctor wo n't smile .	this doctor wo n't like .
that child could yell .	that child could praise .
these men must smile .	these men must scare .
that customer had laughed .	that customer had liked .
this teacher would n't lie .	this teacher would n't bother .
the doctor was n't talking .	the doctor was n't bothering .
those teachers yell .	those teachers bother .
these children could n't scream .	these children could n't bother .
that teacher would scream .	that teacher would appreciate .
this child would lie .	this child would hate .
those men had talked .	those men had scared .
the dentist has talked .	the dentist has bothered .
those men can sneeze .	those men can praise .
these boys yelled .	these boys confused .
these children did n't sneeze .	these children did n't bother .
this patient could scream .	this patient could scare .
the girls were n't lying .	the girls were n't bothering .
these girls can yell .	these girls can hate .
those women will talk .	those women will praise .
those girls laughed .	those girls liked .
these teachers yell .	these teachers praise .
these people talked .	these people scared .
the king will scream .	the king will bother .
the customer is laughing .	the customer is bothering .
this doctor was n't lying .	this doctor was n't bothering .
those girls will laugh .	those girls will scare .
these men lie .	these men hate .
these guys whisper .	these guys appreciate .
that girl is n't talking .	that girl is n't bothering .
the girls may scream .	the girls may praise .
the child was talking .	the child was bothering .
the girl has talked .	the girl has liked .
the guys were n't yelling .	the guys were n't bothering .
these people lie .	these people appreciate .
the teachers must whisper .	the teachers must praise .
the boys cough .	the boys bother .
these ladies cough .	these ladies bother .
those guys must talk .	those guys must bother .
the adult wo n't cough .	the adult wo n't bother .
the doctors do n't talk .	the doctors do n't hate .
this king will sneeze .	this king will scare .
those women laughed .	those women scared .
those children will cough .	those children will appreciate .
this girl had talked .	this girl had scared .
these children could whisper .	these children could scare .
these boys laughed .	these boys bothered .
the boys have talked .	the boys have liked .
those teachers lie .	those teachers scare .
that queen would whisper .	that queen would hate .
those guys smile .	those guys like .
those guys yelled .	those guys liked .
the guys had laughed .	the guys had scared .
that guy should yell .	that guy should scare .
this boy may laugh .	this boy may praise .
the teacher could yell .	the teacher could praise .
that queen yelled .	that queen liked .
the children were n't whispering .	the children were n't bothering .
that doctor laughed .	that doctor scared .
the adult has laughed .	the adult has bothered .
the dancer has laughed .	the dancer has confused .
those girls could n't laugh .	those girls could n't scare .
this driver would scream .	this driver would bother .
this dancer is n't yelling .	this dancer is n't bothering .
this boy will lie .	this boy will bother .
these children did n't sneeze .	these children did n't appreciate .
the dentist wo n't laugh .	the dentist wo n't praise .
this lady should laugh .	this lady should bother .
that king could n't lie .	that king could n't appreciate .
the guy would cough .	the guy would appreciate .
that king talked .	that king bothered .
that lady would whisper .	that lady would scare .
that child is n't lying .	that child is n't bothering .
the driver can whisper .	the driver can hate .
the people have n't laughed .	the people have n't bothered .
the women scream .	the women scare .
this king wo n't lie .	this king wo n't praise .
the girl may talk .	the girl may like .
the adult is n't screaming .	the adult is n't bothering .
that man laughed .	that man scared .
those women yelled .	those women liked .
the boys laugh .	the boys like .
these children laugh .	these children scare .
this customer did n't laugh .	this customer did n't hate .
this person can sneeze .	this person can scare .
this patient might yell .	this patient might like .
the girls yelled .	the girls liked .
the boys can n't sneeze .	the boys can n't hate .
these ladies did n't laugh .	these ladies did n't appreciate .
those men had n't yelled .	those men had n't confused .
the dancer could scream .	the dancer could scare .
that dentist would laugh .	that dentist would like .
the boys yell .	the boys like .
this dancer must laugh .	this dancer must scare .
that boy may talk .	that boy may scare .
those guys were lying .	those guys were bothering .
those guys scream .	those guys bother .
that man would yell .	that man would appreciate .
the boys could n't talk .	the boys could n't praise .
those teachers might yell .	those teachers might hate .
this dentist could n't smile .	this dentist could n't scare .
those women talk .	those women scare .
these doctors whisper .	these doctors scare .
that girl yelled .	that girl confused .
these boys have laughed .	these boys have liked .
those ladies yell .	those ladies hate .
these girls should n't scream .	these girls should n't like .
those children smile .	those children like .
that dentist can n't talk .	that dentist can n't scare .
those women sneeze .	those women like .
the teacher was smiling .	the teacher was bothering .
these men smile .	these men hate .
the people yell .	the people bother .
the patient must whisper .	the patient must praise .
the women might yell .	the women might scare .
the teachers may laugh .	the teachers may praise .
the driver is smiling .	the driver is bothering .
the guy talked .	the guy bothered .
the children lie .	the children bother .
this man could whisper .	this man could praise .
the women yell .	the women bother .
that patient wo n't yell .	that patient wo n't scare .
the man should n't sneeze .	the man should n't like .
that driver laughed .	that driver scared .
the person has yelled .	the person has confused .
this boy has yelled .	this boy has bothered .
this woman did n't smile .	this woman did n't appreciate .
that boy did n't talk .	that boy did n't hate .
the teachers could n't whisper .	the teachers could n't praise .
the guys talk .	the guys praise .
the girl did n't smile .	the girl did n't like .
those men could n't cough .	those men could n't bother .
the queen talked .	the queen liked .
those teachers smile .	those teachers appreciate .
this boy will laugh .	this boy will hate .
the girls would sneeze .	the girls would scare .
these people are talking .	these people are bothering .
that king should n't talk .	that king should n't bother .
these children were whispering .	these children were bothering .
this driver wo n't sneeze .	this driver wo n't like .
these teachers cough .	these teachers like .
those girls cough .	those girls bother .
these men lie .	these men bother .
the man had yelled .	the man had confused .
that king had laughed .	that king had scared .
these men cough .	these men like .
these doctors smile .	these doctors scare .
this patient was n't talking .	this patient was n't bothering .
that patient yelled .	that patient scared .
the people wo n't yell .	the people wo n't scare .
the teachers can laugh .	the teachers can hate .
those girls are whispering .	those girls are bothering .
these teachers laughed .	these teachers confused .
the driver could smile .	the driver could praise .
that customer had yelled .	that customer had liked .
the person can laugh .	the person can appreciate .
that adult laughed .	that adult scared .
that teacher has talked .	that teacher has scared .
the dentist does n't laugh .	the dentist does n't appreciate .
the girls can lie .	the girls can scare .
this guy had n't talked .	this guy had n't confused .
this doctor wo n't smile .	this doctor wo n't praise .
that girl must lie .	that girl must bother .
this king is n't lying .	this king is n't bothering .
these girls should n't scream .	these girls should n't praise .
this dentist may scream .	this dentist may praise .
that guy might whisper .	that guy might hate .
this customer had talked .	this customer had liked .
these doctors talked .	these doctors confused .
those girls have laughed .	those girls have scared .
this girl would laugh .	this girl would appreciate .
these ladies must talk .	these ladies must like .
that woman has yelled .	that woman has bothered .
this driver does n't laugh .	this driver does n't like .
the women may laugh .	the women may scare .
these ladies smile .	these ladies bother .
this queen wo n't lie .	this queen wo n't scare .
the guy laughed .	the guy liked .
these doctors have n't yelled .	these doctors have n't confused .
this guy did n't cough .	this guy did n't scare .
this patient should whisper .	this patient should hate .
those boys should smile .	those boys should praise .
these women have n't talked .	these women have n't bothered .
that adult has n't talked .	that adult has n't liked .
that woman wo n't scream .	that woman wo n't scare .
this child had n't yelled .	this child had n't scared .
the dancer yelled .	the dancer liked .
the people talked .	the people bothered .
the customer appears .	the customer scares .
the women were n't laughing .	the women were n't bothering .
that teacher has n't yelled .	that teacher has n't confused .
that lady should n't talk .	that lady should n't scare .
this child will cough .	this child will appreciate .
those girls laughed .	those girls bothered .
those ladies could n't cough .	those ladies could n't praise .
these women laughed .	these women liked .
the people lie .	the people appreciate .
that adult has yelled .	that adult has bothered .
these people yell .	these people appreciate .
that driver talks .	that driver scares .
these guys are n't yelling .	these guys are n't bothering .
those boys talk .	those boys bother .
the driver was lying .	the driver was bothering .
the patient had yelled .	the patient had liked .
the lady does n't lie .	the lady does n't bother .
these children will sneeze .	these children will bother .
this dancer laughed .	this dancer scared .
that patient laughed .	that patient scared .
this dancer would lie .	this dancer would hate .
that girl should n't sneeze .	that girl should n't scare .
this doctor has yelled .	this doctor has bothered .
that patient can n't cough .	that patient can n't appreciate .
these people could smile .	these people could appreciate .
this doctor is laughing .	this doctor is bothering .
those doctors would laugh .	those doctors would like .
the dentist had n't talked .	the dentist had n't scared .
these boys can n't yell .	these boys can n't scare .
those teachers may laugh .	those teachers may bother .
the boys lie .	the boys hate .
that dentist should n't lie .	that dentist should n't appreciate .
those girls had yelled .	those girls had confused .
those boys would n't lie .	those boys would n't praise .
this dancer could n't lie .	this dancer could n't hate .
this queen did n't sneeze .	this queen did n't appreciate .
this boy laughed .	this boy scared .
this customer may lie .	this customer may bother .
that man laughed .	that man bothered .
the child may smile .	the child may appreciate .
the guys had talked .	the guys had scared .
that man will laugh .	that man will appreciate .
those people could n't lie .	those people could n't praise .
the customer yelled .	the customer bothered .
these women would n't smile .	these women would n't scare .
these boys would n't talk .	these boys would n't appreciate .
that king wo n't smile .	that king wo n't scare .
those girls yell .	those girls appreciate .
these children scream .	these children like .
the ladies lie .	the ladies scare .
those people lie .	those people like .
this teacher should n't smile .	this teacher should n't like .
this dancer can n't talk .	this dancer can n't bother .
these doctors would n't cough .	these doctors would n't like .
the teachers laugh .	the teachers praise .
the teacher would cough .	the teacher would appreciate .
those ladies could scream .	those ladies could bother .
the teachers whisper .	the teachers like .
those boys sneeze .	those boys scare .
these people should n't cough .	these people should n't like .
these guys should n't laugh .	these guys should n't scare .
those people could smile .	those people could like .
the doctors can cough .	the doctors can bother .
the teachers scream .	the teachers bother .
this woman would n't sneeze .	this woman would n't bother .
this dentist should lie .	this dentist should like .
these girls talk .	these girls praise .
those women yell .	those women appreciate .
that dancer would n't laugh .	that dancer would n't hate .
this guy wo n't scream .	this guy wo n't appreciate .
that woman could n't lie .	that woman could n't hate .
the guys would n't laugh .	the guys would n't appreciate .
this man yelled .	this man bothered .
those doctors laughed .	those doctors bothered .
the men scream .	the men praise .
those doctors can laugh .	those doctors can scare .
the king should laugh .	the king should bother .
the men talk .	the men bother .
the customer could whisper .	the customer could praise .
this driver must talk .	this driver must bother .
the teacher is n't talking .	the teacher is n't bothering .
that dancer might lie .	that dancer might hate .
this teacher is laughing .	this teacher is bothering .
this dentist has n't talked .	this dentist has n't bothered .
this king does n't laugh .	this king does n't appreciate .
the guys have yelled .	the guys have liked .
these women talked .	these women bothered .
these doctors scream .	these doctors hate .
the teachers did n't lie .	the teachers did n't appreciate .
the dancer did n't smile .	the dancer did n't appreciate .
this girl has yelled .	this girl has confused .
these girls had n't laughed .	these girls had n't bothered .
those ladies would n't talk .	those ladies would n't praise .
these doctors smile .	these doctors praise .
these children could smile .	these children could bother .
the patient was lying .	the patient was bothering .
these men are n't laughing .	these men are n't bothering .
those people were laughing .	those people were bothering .
that boy was laughing .	that boy was bothering .
the teacher appears .	the teacher likes .
this king should cough .	this king should hate .
the child can talk .	the child can bother .
those people would n't laugh .	those people would n't appreciate .
the girl appears .	the girl scares .
those ladies lie .	those ladies hate .
that dentist can n't whisper .	that dentist can n't praise .
these boys sneeze .	these boys hate .
this dancer wo n't cough .	this dancer wo n't scare .
that woman should n't lie .	that woman should n't hate .
that customer will lie .	that customer will appreciate .
this man must yell .	this man must scare .
those girls had n't laughed .	those girls had n't bothered .
the doctors lie .	the doctors bother .
that lady has talked .	that lady has confused .
this adult laughed .	this adult bothered .
the ladies may whisper .	the ladies may like .
this person should laugh .	this person should scare .
these women yell .	these women bother .
this dancer has n't laughed .	this dancer has n't liked .
that person had laughed .	that person had scared .
the driver does n't scream .	the driver does n't bother .
that king can n't yell .	that king can n't scare .
this queen would n't talk .	this queen would n't appreciate .
that patient is laughing .	that patient is bothering .
the teachers laugh .	the teachers like .
these ladies talked .	these ladies scared .
the adult has n't talked .	the adult has n't liked .
the girl should n't talk .	the girl should n't appreciate .
these guys can n't whisper .	these guys can n't hate .
these men did n't scream .	these men did n't bother .
these women must sneeze .	these women must bother .
that man could lie .	that man could scare .
this dancer wo n't lie .	this dancer wo n't scare .
that guy has n't talked .	that guy has n't bothered .
this adult talks .	this adult scares .
those doctors were n't yelling .	those doctors were n't bothering .
those people wo n't cough .	those people wo n't scare .
the people had n't laughed .	the people had n't bothered .
that dancer wo n't whisper .	that dancer wo n't like .
the lady has n't yelled .	the lady has n't bothered .
these girls sneeze .	these girls scare .
the child must smile .	the child must like .
that driver had yelled .	that driver had confused .
the boys were yelling .	the boys were bothering .
these guys cough .	these guys appreciate .
those people did n't sneeze .	those people did n't praise .
these people will lie .	these people will like .
those girls whisper .	those girls appreciate .
the men can scream .	the men can appreciate .
this guy has yelled .	this guy has liked .
these children whisper .	these children like .
those teachers did n't smile .	those teachers did n't praise .
that guy would lie .	that guy would praise .
that child talks .	that child likes .
these guys sneeze .	these guys appreciate .
those girls smile .	those girls scare .
this patient can smile .	this patient can bother .
the man can n't whisper .	the man can n't like .
those doctors had yelled .	those doctors had confused .
the guys wo n't scream .	the guys wo n't scare .
those guys cough .	those guys hate .
this king will lie .	this king will bother .
the children had n't laughed .	the children had n't liked .
the women could sneeze .	the women could like .
the children sneeze .	the children praise .
this driver can n't talk .	this driver can n't hate .
the woman was yelling .	the woman was bothering .
the guys laughed .	the guys scared .
those men had yelled .	those men had scared .
these guys smile .	these guys scare .
those ladies can laugh .	those ladies can like .
that woman yelled .	that woman confused .
the children do n't lie .	the children do n't hate .
the girl might lie .	the girl might like .
that lady talks .	that lady scares .
the driver yelled .	the driver bothered .
the children could cough .	the children could hate .
those men sneeze .	those men bother .
this customer should n't yell .	this customer should n't appreciate .
those men do n't laugh .	those men do n't scare .
the child had yelled .	the child had confused .
these men yell .	these men praise .
this driver would yell .	this driver would like .
the people can n't laugh .	the people can n't praise .
this boy can lie .	this boy can scare .
that woman laughed .	that woman bothered .
the boy does n't scream .	the boy does n't hate .
that guy does n't scream .	that guy does n't like .
this king can n't smile .	this king can n't scare .
these men sneeze .	these men praise .
this customer should n't sneeze .	this customer should n't scare .
the men cough .	the men scare .
that adult could laugh .	that adult could like .
those teachers would n't yell .	those teachers would n't bother .
that dentist might cough .	that dentist might hate .
this patient should sneeze .	this patient should scare .
these boys should n't lie .	these boys should n't bother .
this woman wo n't talk .	this woman wo n't like .
the king would n't sneeze .	the king would n't hate .
these doctors wo n't smile .	these doctors wo n't bother .
this adult can n't scream .	this adult can n't praise .
the girls smile .	the girls scare .
these men should yell .	these men should bother .
that lady could n't smile .	that lady could n't scare .
these guys cough .	these guys bother .
this dancer laughed .	this dancer bothered .
the child should sneeze .	the child should scare .
this king did n't whisper .	this king did n't praise .
