that ship reads .	that ship read .
these beds exercise .	these beds exercises .
these bowls have those teachers .	these bowls has those teachers .
these toys cry .	these toys cries .
the rings keep those people .	the rings keeps those people .
this mirror scares the rocket .	this mirror scare the rocket .
that mall grows .	that mall grow .
the bank hears this school .	the bank hear this school .
that toy knows the school .	that toy know the school .
these dolls eat .	these dolls eats .
the doll takes that person .	the doll take that person .
the plate drops this lady .	the plate drop this lady .
these toys hear the car .	these toys hears the car .
the books throw those ladies .	the books throws those ladies .
those doors wave .	those doors waves .
the book cries .	the book cry .
that book knows these dishes .	that book know these dishes .
those shoes throw the dentist .	those shoes throws the dentist .
these crayons hear the fork .	these crayons hears the fork .
this candle sings .	this candle sing .
that mall throws those ladies .	that mall throw those ladies .
the books scare the shirt .	the books scares the shirt .
these schools exercise .	these schools exercises .
that chair hears that plate .	that chair hear that plate .
this car shakes that king .	this car shake that king .
the schools know that bowl .	the schools knows that bowl .
the car runs .	the car run .
the rings wave .	the rings waves .
these schools talk .	these schools talks .
this ring reads .	this ring read .
the doors understand this mall .	the doors understands this mall .
the book works with the forks .	the book work with the forks .
these hats make that lady .	these hats makes that lady .
the plates wave .	the plates waves .
the rings sing .	the rings sings .
these plates talk to that museum .	these plates talks to that museum .
the library scares these shoes .	the library scare these shoes .
those beds hear this shoe .	those beds hears this shoe .
the schools hold that person .	the schools holds that person .
these chairs move the guy .	these chairs moves the guy .
that museum shakes the men .	that museum shake the men .
that hat knows the dishes .	that hat know the dishes .
the door helps these cars .	the door help these cars .
the plane sings .	the plane sing .
the bed helps the button .	the bed help the button .
that plate hears that book .	that plate hear that book .
this book understands the plate .	this book understand the plate .
these windows scare the bottle .	these windows scares the bottle .
that rocket holds the person .	that rocket hold the person .
the school talks .	the school talk .
those dolls run .	those dolls runs .
this toy works with the schools .	this toy work with the schools .
this toy has that girl .	this toy have that girl .
this school paints .	this school paint .
the car sings .	the car sing .
that restaurant makes that man .	that restaurant make that man .
those shoes hear those bowls .	those shoes hears those bowls .
the car eats .	the car eat .
the beds bring these girls .	the beds brings these girls .
the room talks to that dish .	the room talk to that dish .
those spoons talk to the plane .	those spoons talks to the plane .
the rug reads .	the rug read .
those toys have the boy .	those toys has the boy .
the cup helps that hospital .	the cup help that hospital .
those toys paint .	those toys paints .
the books cry .	the books cries .
the chairs paint .	the chairs paints .
this truck holds this person .	this truck hold this person .
the chairs grow .	the chairs grows .
this kitchen throws this person .	this kitchen throw this person .
the spoons cry .	the spoons cries .
the bags talk to the cup .	the bags talks to the cup .
those beds cry .	those beds cries .
that ship helps those pictures .	that ship help those pictures .
the toy eats .	the toy eat .
these dishes know the chairs .	these dishes knows the chairs .
this bed cries .	this bed cry .
that crayon shakes the man .	that crayon shake the man .
the books hear the shirts .	the books hears the shirts .
the window waves .	the window wave .
this hat has those children .	this hat have those children .
the couch knows this dish .	the couch know this dish .
the boats paint .	the boats paints .
the bed drops this child .	the bed drop this child .
that bed hears the bags .	that bed hear the bags .
that ring knows the hat .	that ring know the hat .
the car helps that restaurant .	the car help that restaurant .
this door reads .	this door read .
the bank paints .	the bank paint .
those rings move that teacher .	those rings moves that teacher .
the window talks to that bag .	the window talk to that bag .
this museum knows the candles .	this museum know the candles .
this school runs .	this school run .
this truck waves .	this truck wave .
the kitchen brings the girl .	the kitchen bring the girl .
that chair runs .	that chair run .
those candles hear the schools .	those candles hears the schools .
the glasses talk .	the glasses talks .
this picture knows this car .	this picture know this car .
this dish works with the shoe .	this dish work with the shoe .
the doll knows the couch .	the doll know the couch .
the mall waves .	the mall wave .
this plane grows .	this plane grow .
the couch keeps the person .	the couch keep the person .
these candles help the spoon .	these candles helps the spoon .
this ship grows .	this ship grow .
the rings hear this school .	the rings hears this school .
the glasses grow .	the glasses grows .
the plates read .	the plates reads .
the hats cry .	the hats cries .
that car works with this room .	that car work with this room .
that button scares that box .	that button scare that box .
this chair hears this crayon .	this chair hear this crayon .
this ship hears the cups .	this ship hear the cups .
these dishes move those people .	these dishes moves those people .
these dolls shake the doctor .	these dolls shakes the doctor .
that park hears those boxes .	that park hear those boxes .
those trucks throw the man .	those trucks throws the man .
the dishes read .	the dishes reads .
this kitchen eats .	this kitchen eat .
these bags sing .	these bags sings .
those forks grow .	those forks grows .
the schools run .	the schools runs .
that room grows .	that room grow .
that school makes these boys .	that school make these boys .
these boxes move this man .	these boxes moves this man .
the dishes hear that hospital .	the dishes hears that hospital .
these cars read .	these cars reads .
the spoon cries .	the spoon cry .
this rocket works with the button .	this rocket work with the button .
that candle knows those bowls .	that candle know those bowls .
the plane scares that plane .	the plane scare that plane .
this ship reads .	this ship read .
the bottle drops the ladies .	the bottle drop the ladies .
the chair exercises .	the chair exercise .
this toy helps that rocket .	this toy help that rocket .
the candles scare these spoons .	the candles scares these spoons .
the car works with the bowl .	the car work with the bowl .
the mirror hears this window .	the mirror hear this window .
the room exercises .	the room exercise .
the mirror reads .	the mirror read .
this room sings .	this room sing .
the cups work with this crayon .	the cups works with this crayon .
the crayons talk .	the crayons talks .
the rings grow .	the rings grows .
those cars wave .	those cars waves .
the mirror knows these books .	the mirror know these books .
that museum paints .	that museum paint .
the school knows the forks .	the school know the forks .
that spoon grows .	that spoon grow .
the schools hear this doll .	the schools hears this doll .
those buttons know the crayon .	those buttons knows the crayon .
this box helps the glass .	this box help the glass .
that chair knows the museum .	that chair know the museum .
that button hears that bag .	that button hear that bag .
the museum knows these bags .	the museum know these bags .
those crayons read .	those crayons reads .
the boxes talk to the cars .	the boxes talks to the cars .
the mall knows those doors .	the mall know those doors .
that restaurant drops the people .	that restaurant drop the people .
that plane scares this hospital .	that plane scare this hospital .
that bag cries .	that bag cry .
those forks hear that glass .	those forks hears that glass .
those cars hold the children .	those cars holds the children .
those spoons take this adult .	those spoons takes this adult .
that school moves this patient .	that school move this patient .
the box eats .	the box eat .
the dishes talk to that window .	the dishes talks to that window .
these doors know the fork .	these doors knows the fork .
the hospital cries .	the hospital cry .
this car hears this book .	this car hear this book .
this spoon works with those rings .	this spoon work with those rings .
the crayon talks .	the crayon talk .
the box cries .	the box cry .
this bed waves .	this bed wave .
the buttons run .	the buttons runs .
those spoons exercise .	those spoons exercises .
the bowl has the teacher .	the bowl have the teacher .
this bicycle talks .	this bicycle talk .
this mall reads .	this mall read .
that doll grows .	that doll grow .
those shirts hold this man .	those shirts holds this man .
the hat helps that shoe .	the hat help that shoe .
that rocket eats .	that rocket eat .
this book cries .	this book cry .
the dish reads .	the dish read .
these cars throw the teachers .	these cars throws the teachers .
these shirts throw the doctors .	these shirts throws the doctors .
this cup makes those women .	this cup make those women .
the chair knows these spoons .	the chair know these spoons .
that museum works with this window .	that museum work with this window .
the glass throws the patient .	the glass throw the patient .
these dishes paint .	these dishes paints .
these bowls talk to the book .	these bowls talks to the book .
the bottle talks to this fork .	the bottle talk to this fork .
this book waves .	this book wave .
that spoon has this adult .	that spoon have this adult .
those bowls grow .	those bowls grows .
this bag hears the fork .	this bag hear the fork .
the mall throws this lady .	the mall throw this lady .
this bicycle hears the cars .	this bicycle hear the cars .
those dishes talk to those beds .	those dishes talks to those beds .
these boats take that girl .	these boats takes that girl .
the school throws the men .	the school throw the men .
those pictures throw this guy .	those pictures throws this guy .
that picture understands this picture .	that picture understand this picture .
the hat works with those rings .	the hat work with those rings .
the chairs talk .	the chairs talks .
the rooms hear those rings .	the rooms hears those rings .
the books grow .	the books grows .
this school hears this ring .	this school hear this ring .
these windows read .	these windows reads .
that doll paints .	that doll paint .
this hat understands that restaurant .	this hat understand that restaurant .
the fork sings .	the fork sing .
that park keeps this driver .	that park keep this driver .
the park hears those shirts .	the park hear those shirts .
that school works with that plate .	that school work with that plate .
that cup cries .	that cup cry .
that park scares this boat .	that park scare this boat .
that bicycle grows .	that bicycle grow .
those windows cry .	those windows cries .
the plate cries .	the plate cry .
that book waves .	that book wave .
this bank grows .	this bank grow .
the cars talk to the cup .	the cars talks to the cup .
these schools eat .	these schools eats .
this ship runs .	this ship run .
this bicycle eats .	this bicycle eat .
that crayon talks .	that crayon talk .
those pictures exercise .	those pictures exercises .
these crayons throw this child .	these crayons throws this child .
that bed talks to the bicycle .	that bed talk to the bicycle .
this ring has the child .	this ring have the child .
that book knows that rocket .	that book know that rocket .
this rocket runs .	this rocket run .
this restaurant grows .	this restaurant grow .
the picture exercises .	the picture exercise .
that door scares this dish .	that door scare this dish .
these beds move this person .	these beds moves this person .
this picture reads .	this picture read .
that bottle holds that king .	that bottle hold that king .
this school cries .	this school cry .
the room helps that mall .	the room help that mall .
the toy shakes the people .	the toy shake the people .
this shoe reads .	this shoe read .
the shoes know this toy .	the shoes knows this toy .
this rug paints .	this rug paint .
the mirror helps those cars .	the mirror help those cars .
that bank reads .	that bank read .
those boats understand these cups .	those boats understands these cups .
those pictures wave .	those pictures waves .
this fork hears these boats .	this fork hear these boats .
that picture drops the king .	that picture drop the king .
the schools hear the mall .	the schools hears the mall .
the book paints .	the book paint .
this bed reads .	this bed read .
those chairs grow .	those chairs grows .
this bed talks .	this bed talk .
that bowl reads .	that bowl read .
that mirror cries .	that mirror cry .
those shirts hear those bags .	those shirts hears those bags .
the crayon hears this book .	the crayon hear this book .
this library hears the shirt .	this library hear the shirt .
that plate runs .	that plate run .
the pictures eat .	the pictures eats .
those shirts talk to this ring .	those shirts talks to this ring .
the buttons make those guys .	the buttons makes those guys .
that library reads .	that library read .
this shoe moves this boy .	this shoe move this boy .
those boats talk to this box .	those boats talks to this box .
the schools scare those shoes .	the schools scares those shoes .
that park runs .	that park run .
the picture talks .	the picture talk .
this bed understands this box .	this bed understand this box .
that rocket throws these guys .	that rocket throw these guys .
the glasses help this museum .	the glasses helps this museum .
the spoons paint .	the spoons paints .
this book moves this queen .	this book move this queen .
this shirt keeps the teachers .	this shirt keep the teachers .
the glass reads .	the glass read .
these windows know those cars .	these windows knows those cars .
the spoons read .	the spoons reads .
the plates work with that ship .	the plates works with that ship .
the button talks .	the button talk .
that book works with the park .	that book work with the park .
the candle talks to those dishes .	the candle talk to those dishes .
those plates have the doctors .	those plates has the doctors .
the bed runs .	the bed run .
the cup reads .	the cup read .
that cup understands those buttons .	that cup understand those buttons .
the rooms shake this man .	the rooms shakes this man .
this ship cries .	this ship cry .
the bags hear the book .	the bags hears the book .
this picture sings .	this picture sing .
the school hears that shoe .	the school hear that shoe .
that rug holds the king .	that rug hold the king .
the plane scares that museum .	the plane scare that museum .
that fork shakes the driver .	that fork shake the driver .
the ship eats .	the ship eat .
this book reads .	this book read .
these glasses talk .	these glasses talks .
the rocket knows those boats .	the rocket know those boats .
the cup talks to that candle .	the cup talk to that candle .
these books talk .	these books talks .
this hospital talks to those cars .	this hospital talk to those cars .
these hats eat .	these hats eats .
this school keeps the ladies .	this school keep the ladies .
those books know these plates .	those books knows these plates .
that ring works with the pictures .	that ring work with the pictures .
that museum brings the woman .	that museum bring the woman .
this candle eats .	this candle eat .
these doors wave .	these doors waves .
this button hears the bicycle .	this button hear the bicycle .
the rings work with this school .	the rings works with this school .
that bicycle knows those cars .	that bicycle know those cars .
these crayons wave .	these crayons waves .
this bed scares the ship .	this bed scare the ship .
those pictures read .	those pictures reads .
that bottle reads .	that bottle read .
that ring helps those shirts .	that ring help those shirts .
those toys hear these toys .	those toys hears these toys .
those shoes hear the toys .	those shoes hears the toys .
this car has these boys .	this car have these boys .
the beds understand the box .	the beds understands the box .
the kitchen scares that mall .	the kitchen scare that mall .
that restaurant talks to this dish .	that restaurant talk to this dish .
that car grows .	that car grow .
these chairs talk .	these chairs talks .
that park works with these rings .	that park work with these rings .
that chair grows .	that chair grow .
that mall knows that book .	that mall know that book .
the book brings this patient .	the book bring this patient .
these dishes drop that driver .	these dishes drops that driver .
this spoon exercises .	this spoon exercise .
the hat scares that restaurant .	the hat scare that restaurant .
that car brings the dentist .	that car bring the dentist .
this door knows these boats .	this door know these boats .
this cup runs .	this cup run .
those forks exercise .	those forks exercises .
that bicycle sings .	that bicycle sing .
the museum exercises .	the museum exercise .
the rooms cry .	the rooms cries .
those boats cry .	those boats cries .
those dishes know the truck .	those dishes knows the truck .
the window talks to that window .	the window talk to that window .
those schools bring this boy .	those schools brings this boy .
those shoes scare these bottles .	those shoes scares these bottles .
this box shakes that guy .	this box shake that guy .
the crayons keep those people .	the crayons keeps those people .
those boxes cry .	those boxes cries .
that hospital throws these children .	that hospital throw these children .
these bowls grow .	these bowls grows .
the box holds the doctor .	the box hold the doctor .
that picture understands those toys .	that picture understand those toys .
those toys work with that bottle .	those toys works with that bottle .
these spoons wave .	these spoons waves .
that rug runs .	that rug run .
that book reads .	that book read .
this school moves that driver .	this school move that driver .
this restaurant paints .	this restaurant paint .
the boat cries .	the boat cry .
this button brings that woman .	this button bring that woman .
this book talks to this toy .	this book talk to this toy .
the book waves .	the book wave .
the boats shake that person .	the boats shakes that person .
these books exercise .	these books exercises .
those shirts hear the crayons .	those shirts hears the crayons .
that book drops the boys .	that book drop the boys .
that museum hears those cups .	that museum hear those cups .
the button hears this shirt .	the button hear this shirt .
this bowl hears the school .	this bowl hear the school .
the hats exercise .	the hats exercises .
these dishes work with those doors .	these dishes works with those doors .
the chairs hear the cup .	the chairs hears the cup .
those cups drop this driver .	those cups drops this driver .
the windows hear this bag .	the windows hears this bag .
the cars hear the dolls .	the cars hears the dolls .
those trucks work with this couch .	those trucks works with this couch .
the chairs know the windows .	the chairs knows the windows .
these bowls understand that bottle .	these bowls understands that bottle .
those dolls talk to the car .	those dolls talks to the car .
this rug sings .	this rug sing .
these bowls know that bicycle .	these bowls knows that bicycle .
the hats paint .	the hats paints .
the couch exercises .	the couch exercise .
the button brings the boy .	the button bring the boy .
the shoes run .	the shoes runs .
the hats throw this queen .	the hats throws this queen .
that hat makes these girls .	that hat make these girls .
these books work with the shirt .	these books works with the shirt .
the boat helps that car .	the boat help that car .
that mall cries .	that mall cry .
the library holds these guys .	the library hold these guys .
this toy throws the adult .	this toy throw the adult .
the bowls paint .	the bowls paints .
that button paints .	that button paint .
this chair exercises .	this chair exercise .
the rings keep those men .	the rings keeps those men .
that plane scares the rooms .	that plane scare the rooms .
the toys grow .	the toys grows .
the books hear the bank .	the books hears the bank .
this crayon talks to that cup .	this crayon talk to that cup .
that bank scares those crayons .	that bank scare those crayons .
this rug exercises .	this rug exercise .
the school helps that bowl .	the school help that bowl .
that rug takes the doctors .	that rug take the doctors .
that picture brings those ladies .	that picture bring those ladies .
this hospital hears these books .	this hospital hear these books .
those windows know this crayon .	those windows knows this crayon .
those toys have that child .	those toys has that child .
the bed works with that car .	the bed work with that car .
that restaurant knows those forks .	that restaurant know those forks .
these bags grow .	these bags grows .
that kitchen holds this queen .	that kitchen hold this queen .
the rings know the couch .	the rings knows the couch .
those trucks read .	those trucks reads .
the kitchen talks .	the kitchen talk .
that bag sings .	that bag sing .
this bag grows .	this bag grow .
the schools read .	the schools reads .
the dishes have the people .	the dishes has the people .
these pictures scare these trucks .	these pictures scares these trucks .
those boxes talk to the museum .	those boxes talks to the museum .
that car hears that book .	that car hear that book .
those rings throw the girls .	those rings throws the girls .
that ship sings .	that ship sing .
this bag talks .	this bag talk .
the button helps this rocket .	the button help this rocket .
that bag has the men .	that bag have the men .
the trucks run .	the trucks runs .
that glass hears that hat .	that glass hear that hat .
those buttons drop the women .	those buttons drops the women .
those spoons know that rug .	those spoons knows that rug .
the truck takes that boy .	the truck take that boy .
that book hears the window .	that book hear the window .
the dish works with the books .	the dish work with the books .
this park cries .	this park cry .
those hats throw those teachers .	those hats throws those teachers .
the plate knows that ship .	the plate know that ship .
these trucks drop the king .	these trucks drops the king .
that hat throws the person .	that hat throw the person .
the doors read .	the doors reads .
those glasses know the books .	those glasses knows the books .
these glasses hear the dolls .	these glasses hears the dolls .
these forks scare this boat .	these forks scares this boat .
the doll sings .	the doll sing .
this bicycle reads .	this bicycle read .
that dish brings that woman .	that dish bring that woman .
this toy paints .	this toy paint .
that crayon waves .	that crayon wave .
that plane takes the king .	that plane take the king .
the buttons work with that door .	the buttons works with that door .
this bottle runs .	this bottle run .
the chair hears the crayons .	the chair hear the crayons .
the door understands those schools .	the door understand those schools .
that boat reads .	that boat read .
the bank talks to the couch .	the bank talk to the couch .
the school keeps those boys .	the school keep those boys .
that bag drops that king .	that bag drop that king .
these candles take the dentist .	these candles takes the dentist .
this window waves .	this window wave .
the hat waves .	the hat wave .
these boxes sing .	these boxes sings .
that box sings .	that box sing .
the cars paint .	the cars paints .
that shirt hears those schools .	that shirt hear those schools .
those rings talk to the book .	those rings talks to the book .
this museum understands those crayons .	this museum understand those crayons .
this hospital cries .	this hospital cry .
that button helps those books .	that button help those books .
this school takes these women .	this school take these women .
the dishes know this dish .	the dishes knows this dish .
this car understands that picture .	this car understand that picture .
the bowl waves .	the bowl wave .
those rooms know that fork .	those rooms knows that fork .
the park takes those women .	the park take those women .
the school reads .	the school read .
that bicycle understands those bags .	that bicycle understand those bags .
that restaurant hears the glasses .	that restaurant hear the glasses .
these plates eat .	these plates eats .
this doll hears the car .	this doll hear the car .
those books talk to those boxes .	those books talks to those boxes .
this book helps that button .	this book help that button .
these boats move this king .	these boats moves this king .
that ring understands the car .	that ring understand the car .
those bags run .	those bags runs .
the spoons hear those boxes .	the spoons hears those boxes .
that spoon exercises .	that spoon exercise .
the spoons understand the car .	the spoons understands the car .
the kitchen works with the school .	the kitchen work with the school .
this picture talks to these shirts .	this picture talk to these shirts .
the cars grow .	the cars grows .
these hats shake the child .	these hats shakes the child .
this hospital drops this guy .	this hospital drop this guy .
those dishes know the candles .	those dishes knows the candles .
the car exercises .	the car exercise .
the candles hear that cup .	the candles hears that cup .
that bag paints .	that bag paint .
that picture talks to this couch .	that picture talk to this couch .
the toys read .	the toys reads .
that picture talks .	that picture talk .
the school waves .	the school wave .
the fork helps these glasses .	the fork help these glasses .
these glasses take this dancer .	these glasses takes this dancer .
this box sings .	this box sing .
these dishes make the boy .	these dishes makes the boy .
the button works with this ship .	the button work with this ship .
these schools sing .	these schools sings .
the school eats .	the school eat .
those bottles bring that dentist .	those bottles brings that dentist .
the pictures wave .	the pictures waves .
these toys exercise .	these toys exercises .
the shoes drop that guy .	the shoes drops that guy .
the cars scare this bank .	the cars scares this bank .
the ship helps the crayon .	the ship help the crayon .
those pictures take those children .	those pictures takes those children .
this ship sings .	this ship sing .
the school holds the teachers .	the school hold the teachers .
that hat knows those hats .	that hat know those hats .
this glass works with this plane .	this glass work with this plane .
these forks grow .	these forks grows .
the couch talks to those cars .	the couch talk to those cars .
those books run .	those books runs .
the book shakes the lady .	the book shake the lady .
that plane hears those hats .	that plane hear those hats .
this bag brings this teacher .	this bag bring this teacher .
this button shakes that teacher .	this button shake that teacher .
this room has this patient .	this room have this patient .
the forks read .	the forks reads .
the doors wave .	the doors waves .
this car hears this ship .	this car hear this ship .
this dish waves .	this dish wave .
this candle knows this door .	this candle know this door .
this spoon talks to this school .	this spoon talk to this school .
these rooms make the queen .	these rooms makes the queen .
those bags help the shirt .	those bags helps the shirt .
that hospital scares these bowls .	that hospital scare these bowls .
those rooms drop the person .	those rooms drops the person .
this bowl knows these glasses .	this bowl know these glasses .
that boat has this child .	that boat have this child .
the glasses cry .	the glasses cries .
that shirt drops that king .	that shirt drop that king .
this window has this guy .	this window have this guy .
these books hear the rings .	these books hears the rings .
this shirt runs .	this shirt run .
that book hears the shoe .	that book hear the shoe .
that cup reads .	that cup read .
those hats talk .	those hats talks .
those trucks take these ladies .	those trucks takes these ladies .
that spoon makes the boy .	that spoon make the boy .
that chair throws the teachers .	that chair throw the teachers .
the ship runs .	the ship run .
the spoon has these doctors .	the spoon have these doctors .
those glasses talk to the car .	those glasses talks to the car .
that park holds that guy .	that park hold that guy .
those books hear the doll .	those books hears the doll .
those books move this teacher .	those books moves this teacher .
those crayons hear this ship .	those crayons hears this ship .
those bags exercise .	those bags exercises .
that car hears the rings .	that car hear the rings .
the cars wave .	the cars waves .
that couch exercises .	that couch exercise .
the cups exercise .	the cups exercises .
the truck talks to the crayons .	the truck talk to the crayons .
these bags drop the driver .	these bags drops the driver .
the school shakes this woman .	the school shake this woman .
that bicycle talks to that book .	that bicycle talk to that book .
these trucks work with that mall .	these trucks works with that mall .
the park keeps the girls .	the park keep the girls .
the shoes sing .	the shoes sings .
the hat keeps this dancer .	the hat keep this dancer .
the bank holds that child .	the bank hold that child .
these bottles wave .	these bottles waves .
the kitchen helps those boats .	the kitchen help those boats .
the bags read .	the bags reads .
those schools grow .	those schools grows .
this cup holds the children .	this cup hold the children .
that doll hears the ring .	that doll hear the ring .
this door talks to those shoes .	this door talk to those shoes .
these cars move the lady .	these cars moves the lady .
the dishes scare the book .	the dishes scares the book .
that bank exercises .	that bank exercise .
that crayon understands that rug .	that crayon understand that rug .
this car reads .	this car read .
these schools talk to that cup .	these schools talks to that cup .
this couch knows those schools .	this couch know those schools .
these boats paint .	these boats paints .
the car grows .	the car grow .
this park exercises .	this park exercise .
the candle scares the toys .	the candle scare the toys .
the bags hear those boats .	the bags hears those boats .
these dishes wave .	these dishes waves .
this rocket cries .	this rocket cry .
the window works with those crayons .	the window work with those crayons .
the rings talk to these boats .	the rings talks to these boats .
the chair eats .	the chair eat .
the library has that person .	the library have that person .
the dishes run .	the dishes runs .
those cars run .	those cars runs .
these rooms eat .	these rooms eats .
these plates hear those doors .	these plates hears those doors .
those beds throw the teachers .	those beds throws the teachers .
this toy exercises .	this toy exercise .
that spoon brings these people .	that spoon bring these people .
that dish knows those bags .	that dish know those bags .
those hats shake these ladies .	those hats shakes these ladies .
that shirt grows .	that shirt grow .
that chair takes those men .	that chair take those men .
the toy scares that dish .	the toy scare that dish .
this doll grows .	this doll grow .
those dolls drop the guy .	those dolls drops the guy .
these shirts read .	these shirts reads .
the hats talk .	the hats talks .
this restaurant exercises .	this restaurant exercise .
the museum works with that ship .	the museum work with that ship .
this glass grows .	this glass grow .
the window grows .	the window grow .
these books keep this adult .	these books keeps this adult .
the toys sing .	the toys sings .
the chair brings these boys .	the chair bring these boys .
this book understands the dishes .	this book understand the dishes .
this car helps the car .	this car help the car .
this chair sings .	this chair sing .
this bottle waves .	this bottle wave .
the toy keeps these teachers .	the toy keep these teachers .
those schools paint .	those schools paints .
those bottles eat .	those bottles eats .
the chair brings those ladies .	the chair bring those ladies .
that shirt exercises .	that shirt exercise .
this window helps this bottle .	this window help this bottle .
that hat sings .	that hat sing .
the bowls understand the dish .	the bowls understands the dish .
that fork hears this glass .	that fork hear this glass .
these buttons sing .	these buttons sings .
the bank moves the guys .	the bank move the guys .
this couch has that king .	this couch have that king .
the bowl shakes the doctors .	the bowl shake the doctors .
these dolls sing .	these dolls sings .
these plates know this room .	these plates knows this room .
this glass cries .	this glass cry .
this picture hears that book .	this picture hear that book .
the dish sings .	the dish sing .
those schools know the plates .	those schools knows the plates .
this plate waves .	this plate wave .
the spoons exercise .	the spoons exercises .
the school understands that bag .	the school understand that bag .
those bottles paint .	those bottles paints .
these buttons understand these schools .	these buttons understands these schools .
this museum eats .	this museum eat .
the school scares those spoons .	the school scare those spoons .
this school eats .	this school eat .
the rocket hears that school .	the rocket hear that school .
those cups help that mirror .	those cups helps that mirror .
the toy talks .	the toy talk .
this hat waves .	this hat wave .
these cups shake that queen .	these cups shakes that queen .
the book helps those boats .	the book help those boats .
this glass waves .	this glass wave .
the chair takes this dentist .	the chair take this dentist .
the bottle grows .	the bottle grow .
these plates know that door .	these plates knows that door .
that bank paints .	that bank paint .
that doll makes this girl .	that doll make this girl .
these chairs run .	these chairs runs .
the park grows .	the park grow .
the rocket grows .	the rocket grow .
that ship cries .	that ship cry .
these cars make that dentist .	these cars makes that dentist .
this plane talks to that candle .	this plane talk to that candle .
those windows make that doctor .	those windows makes that doctor .
these boats talk .	these boats talks .
those buttons understand the book .	those buttons understands the book .
these glasses help that car .	these glasses helps that car .
the book moves this child .	the book move this child .
